WELL,DEPTH,GROUP
,METRES,
NO_34/8-11,355,NORDLAND GP
NO_34/8-11,1102,HORDALAND GP
NO_34/8-11,1822,ROGALAND GP
NO_34/8-11,2001,SHETLAND GP
NO_34/8-11,2851,CROMER KNOLL GP
NO_34/8-11,2853,VIKING GP
NO_34/8-11,2869,BRENT GP
NO_34/8-11,3011,DUNLIN GP
NO_34/8-11,3140
NO_34/8-8,364,NORDLAND GP
NO_34/8-8,1190,HORDALAND GP
NO_34/8-8,1829,ROGALAND GP
NO_34/8-8,1998,SHETLAND GP
NO_34/8-8,2877,CROMER KNOLL GP
NO_34/8-8,2901,VIKING GP
NO_34/8-8,2921,BRENT GP
NO_34/8-8,3077,DUNLIN GP
NO_34/8-8,3388,STATFJORD GP
NO_34/8-8,3474,HEGRE GP
NO_34/8-8,3625
